price,bedrooms,bathrooms,area,property_type,city,region,latitude,longitude,agency,price_per_m
33000000,4,4,250,Chalet,North Coast,Matruh,30.834438,28.963224,Superior LLC renovation home & property management,132000
14000000,5,5,462,Villa,Shorouk City,Cairo,30.14421,31.63972,Property Hills One 1,30303
35400000,4,4,238,Villa,North Coast,Matruh,27.631819579758,31.179296956131,Property Hills One 1,148739
19800000,3,5,311,Villa,New Cairo,Cairo,30.0526673,31.4886812,شركة تكاول,63665
7000000,3,2,150,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Scouts,46666
17325000,3,4,186,Apartment,Mokattam,Cairo,30.02201225,31.3100159,Host,93145
16000000,5,5,392,Twin House,New Cairo,Cairo,30.06805,31.406379,Property Hills One 1,40816
22000000,4,4,242,Townhouse,New Cairo,Cairo,30.0600801,31.5985531,Property Hills One 1,90909
16000000,7,6,508,Villa,New Cairo,Cairo,30.0478192,31.5372842,Property Hills One 1,31496
4900000,3,3,177,Apartment,New Capital City,Cairo,30.0395901,31.6985965,Scouts,27683
21000000,3,3,258,Townhouse,New Cairo,Cairo,30.0662855,31.4744728,Egypt Best Properties (EBP,81395
8000000,4,3,212,Villa,Mostakbal City,Cairo,30.069725035909,31.660034846981,Scouts,37735
140000000,10,5,1200,Villa,New Cairo,Cairo,30.0051899,31.5160253,عربية للتسويق العقاري,116666
6800000,3,3,160,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Scouts,42500
7000000,2,2,125,Apartment,New Capital City,Cairo,29.9978985,31.63101061,Capital Agency,56000
37000000,7,4,315,Villa,New Cairo,Cairo,30.0102788,31.5379067,Property Hills One 1,117460
7750000,3,3,165,Apartment,6th of October,Giza,29.99714013,30.90527607,Nubian Group,46969
33000000,6,7,900,Villa,6th of October,Giza,30.0050164,30.9062036,Nubian Group,36666
3750000,3,2,160,Apartment,Nasr City,Cairo,30.03145,31.34338,Retaj Real Estate Consultancy,23437
14000000,5,5,462,Villa,Shorouk City,Cairo,30.1371571,31.60633565,Property Hills One 1,30303
30000000,5,4,261,Villa,Shorouk City,Cairo,30.1158572,31.6235277,Property Hills One 1,114942
2750000,3,2,180,Apartment,Shorouk City,Cairo,30.14421,31.63972,عمائر للتنمية العقارية,15277
4700000,3,2,165,Apartment,New Cairo,Cairo,30.025056,31.5948035,Scouts,28484
20000000,4,4,248,Townhouse,New Cairo,Cairo,30.041309,31.4771017,Property Hills One 1,80645
15000000,2,3,197,Apartment,Amreya,Alexandria,31.158448,29.95946,Property Hills One 1,76142
42000000,4,5,392,Villa,Amreya,Alexandria,31.158448,29.95946,Property Hills One 1,107142
15000000,6,5,520,Twin House,New Cairo,Cairo,30.0310276,31.5423707,Property Hills One 1,28846
12300000,3,3,140,Twin House,Ain Sukhna,Suez,29.63256,32.33002,Property Hills One 1,87857
25000000,4,4,220,Townhouse,New Cairo,Cairo,30.07349031,31.60085522,Property Hills One 1,113636
16000000,5,5,295,Villa,Mostakbal City,Cairo,30.0941611,31.7041108,Property Hills One 1,54237
41500000,3,3,260,Twin House,Sheikh Zayed,Giza,29.999066529633,31.002288720817,Egypt Best Properties (EBP,159615
4700000,4,3,215,Apartment,New Cairo,Cairo,30.0035761,31.4056766,Falcon Real Estate,21860
34000000,4,4,650,Villa,Gouna,Red Sea,27.402764600013,33.650624769488,Egypt Best Properties (EBP,52307
6990000,3,2,150,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Falcon Real Estate,46600
11200000,3,3,170,Apartment,Sheraton,Cairo,30.082662679848,31.376713970852,Penates,65882
9000000,2,2,102,Chalet,Gouna,Red Sea,27.4055743,33.6585731,Egypt Best Properties (EBP,88235
3500000,2,2,100,Apartment,Sheikh Zayed,Giza,30.06229462,30.91045572,AL Hayah Investment,35000
34000000,4,4,350,Villa,New Cairo,Cairo,29.9842656,31.540594,Penates,97142
9300000,3,3,198,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Penates,46969
10900000,3,3,160,Apartment,Sheraton,Cairo,30.082662679848,31.376713970852,Penates,68125
4300000,3,2,210,Apartment,Shorouk City,Cairo,30.14421,31.63972,عمائر للتنمية العقارية,20476
4600000,2,3,126,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,Java for real estate,36507
6900000,2,2,145,Apartment,Katameya,Cairo,29.980463,31.3854644,Capital Agency,47586
18000000,3,3,152,Chalet,North Coast,Matruh,30.9628937,28.7565892,a-one real estate,118421
7500000,2,2,135,Apartment,New Cairo,Cairo,30.0598936,31.4083263,New Avenue,55555
1700000,2,1,75,Apartment,Mandara,Alexandria,31.27483,30.00616,Leila Mohamed,22666
6500000,3,2,220,Apartment,New Cairo,Cairo,30.0391222,31.4543375,شركة تكاول,29545
12500000,4,3,190,Penthouse,New Cairo,Cairo,30.0870528,31.5124185,Falcon Real Estate,65789
44442000,5,5,425,Villa,New Cairo,Cairo,30.0074176,31.4887433,Coldwell Banker Analista,104569
15000000,2,2,102,Chalet,North Coast,Matruh,30.9628937,28.7565892,Egy Property,147058
2900000,2,1,158,Apartment,New Capital City,Cairo,30.0395901,31.6985965,Wealthy way,18354
30150000,3,4,167,Townhouse,North Coast,Matruh,30.9628937,28.7565892,New Avenue,180538
8975000,1,1,68,Chalet,North Coast,Matruh,31.065661392699,28.397555312136,Grand home,131985
11495701,4,3,120,Apartment,Mokattam,Cairo,30.02201225,31.3100159,Egy Property,95797
9300000,4,3,269,Townhouse,Sheikh Zayed,Giza,30.0671203,30.9748467,Inn properties,34572
980000,2,1,100,Apartment,Nakheel,Alexandria,31.24605,29.99844,العربي جروب للتسويق العقاري,9800
5200000,2,2,96,Apartment,Madinaty,Cairo,30.09177585,31.6426486,سماح عبد الحليم محمد,54166
31002385,10,10,750,Villa,6th of October,Giza,29.8561331,30.9018623,PHT,41336
4750000,3,3,210,Apartment,New Capital City,Cairo,29.9462159,31.7122334,deal,22619
8700000,2,2,115,Apartment,New Cairo,Cairo,30.0600801,31.5985531,Capital Agency,75652
7800000,1,1,62,Chalet,North Coast,Matruh,31.3543445,27.2373159,Falcon Real Estate,125806
4000000,3,3,145,Apartment,New Capital City,Cairo,30.001297636918,31.784604233077,deal,27586
4500000,3,3,163,Apartment,New Capital City,Cairo,29.9723236,31.7154944,deal,27607
4900000,2,2,120,Chalet,Ain Sukhna,Suez,29.6727347,32.3374381,Scouts,40833
3500000,3,2,250,Apartment,Shorouk City,Cairo,30.14421,31.63972,عمائر للتنمية العقارية,14000
7700000,2,2,100,Apartment,New Cairo,Cairo,29.9842656,31.540594,4 C,77000
6500000,3,3,159,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Capital Agency,40880
14000000,4,4,170,Villa,Mostakbal City,Cairo,30.0941611,31.7041108,premier Properties,82352
6127550,2,2,211,Apartment,Smoha,Alexandria,31.208442946995,29.939799250338,Property hills star,29040
22800000,3,3,210,Townhouse,6th of October,Giza,29.985209678113,31.080067422088,Egypt Best Properties (EBP,108571
19700000,5,5,195,Apartment,6th of October,Giza,29.8561331,30.9018623,Egypt Best Properties (EBP,101025
26930000,4,4,304,Townhouse,6th of October,Giza,30.0092002,31.0178278,Egypt Best Properties (EBP,88585
35993000,8,6,362,Twin House,6th of October,Giza,30.0092002,31.0178278,Egypt Best Properties (EBP,99428
26930000,4,4,304,Townhouse,6th of October,Giza,30.0092002,31.0178278,Egypt Best Properties (EBP,88585
29930000,7,4,300,Twin House,6th of October,Giza,30.0092002,31.0178278,Egypt Best Properties (EBP,99766
5500000,2,2,115,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Capital Agency,47826
6600000,3,3,158,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Capital Agency,41772
3150000,0,1,57,Apartment,6th of October,Giza,30.006447,31.0985889,AL Hayah Investment,55263
38500000,11,11,1268,Villa,New Cairo,Cairo,29.9842656,31.540594,Property Hills One 1,30362
8500000,2,1,99,Apartment,New Cairo,Cairo,29.9986558,31.426684,Damson Real estate,85858
8200000,2,3,160,Apartment,New Cairo,Cairo,30.0574569,31.6018979,New Avenue,51250
7000000,3,3,160,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Capital Agency,43750
4825000,3,3,196,Apartment,Zahraa Al Maadi,Cairo,29.979887358979,31.314718290157,El mamlaka,24617
6800000,3,3,136,Apartment,New Capital City,Cairo,30.001297636918,31.784604233077,Falcon Real Estate,50000
6000000,3,3,173,Apartment,6th of October,Giza,29.8561331,30.9018623,Abrag One,34682
10500000,3,2,147,Chalet,Ain Sukhna,Suez,29.3088415,32.5997754,Property Hills One 1,71428
11500000,3,3,266,Townhouse,Mostakbal City,Cairo,30.0466368,31.6336039,New Avenue,43233
4600000,0,2,65,Chalet,Soma Bay,Red Sea,26.8608814,33.944639,Wealthy way,70769
6200000,4,2,500,Apartment,Obour City,Cairo,30.22834,31.47989,شركة العمامى للتسويق العقارى,12400
2186110,2,1,85,Apartment,6th of October,Giza,29.9391835,31.0267927,Abrag One,25718
40000000,5,4,347,Villa,Madinaty,Cairo,30.09177585,31.6426486,New Avenue,115273
10000000,5,5,400,Villa,New Mansoura,Dakahlia,31.4900981,31.4218195,Coldwell Banker,25000
4000000,2,2,123,Apartment,New Capital City,Cairo,29.9978985,31.63101061,Coldwell Banker,32520
32000000,5,5,320,Villa,Sheikh Zayed,Giza,30.0671203,30.9748467,Coldwell Banker,100000
34000000,5,5,285,Villa,New Cairo,Cairo,30.0920272,31.4838462,Coldwell Banker,119298
8000000,3,3,145,Chalet,North Coast,Matruh,30.8365625,28.9590625,Coldwell Banker,55172
5150000,2,1,114,Apartment,New Cairo,Cairo,30.06805,31.406379,Wealthy way,45175
15000000,3,3,185,Villa,New Cairo,Cairo,30.0600801,31.5985531,Scouts,81081
3500000,2,2,130,Apartment,Shorouk City,Cairo,30.2013484,31.6804732,SFR,26923
4000000,3,2,153,Apartment,New Cairo,Cairo,30.0246926,31.4940262,SFR,26143
19000000,3,3,245,Villa,New Cairo,Cairo,30.06603,31.48561,Imkan Investment,77551
15750000,5,3,508,Villa,New Cairo,Cairo,30.0478192,31.5372842,Property Hills One 1,31003
7500000,4,4,261,Twin House,Sheikh Zayed,Giza,30.002639,30.8352722,Al Kayan,28735
7500000,4,4,260,Twin House,Sheikh Zayed,Giza,30.002639,30.8352722,Al Kayan,28846
3418016,2,1,94,Apartment,Hurghada,Red Sea,27.2579,33.81161,R. O. I Real Estate Investment Hurghada,36361
6000000,3,2,220,Apartment,New Capital City,Cairo,30.0395901,31.6985965,Grow Up Real Estate,27272
13000000,4,4,375,Villa,Katameya,Cairo,29.9819025,31.3772485,Property Hills One 1,34666
1550000,1,1,60,Apartment,New Cairo,Cairo,29.988206350003,31.476730158727,Abdelrazek Hashem,25833
9425000,3,2,165,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Egyco Real Estate,57121
9880000,3,2,150,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Egyco Real Estate,65866
16000000,3,3,165,Villa,New Capital City,Cairo,30.0029471,31.595582,Scouts,96969
17500000,5,4,245,Villa,New Cairo,Cairo,30.0742797,31.5887794,Scouts,71428
14000000,4,4,200,Villa,Ain Sukhna,Suez,29.63256,32.33002,Scouts,70000
9700000,3,2,140,Chalet,Ain Sukhna,Suez,29.3875676,32.5544221,Scouts,69285
7400000,3,3,150,Townhouse,Mostakbal City,Cairo,30.0941611,31.7041108,Scouts,49333
7000000,3,2,180,Apartment,Moharam Bik,Alexandria,31.17310014,29.9287022,Alex Real Estate,38888
8000000,4,4,264,Duplex,New Cairo,Cairo,29.9842656,31.540594,Scouts,30303
3350000,3,2,122,Apartment,New Capital City,Cairo,30.0395901,31.6985965,Grow Up Real Estate,27459
3700000,3,2,137,Apartment,New Cairo,Cairo,30.06805,31.406379,SFR,27007
3400000,2,1,83,Apartment,6th of October,Giza,29.9844638,30.8817192,Property Hills Elite,40963
8500000,3,3,240,Apartment,Glim,Alexandria,31.23894,29.96411,Elira real estate,35416
6860000,2,2,138,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Aqar Factory,49710
2500000,2,2,130,Apartment,New Cairo,Cairo,29.99352595,31.5196573,النمر للمقاولات,19230
6400000,2,3,125,Apartment,Katameya,Cairo,29.980463,31.3854644,Capital Agency,51200
6800000,3,3,140,Apartment,Katameya,Cairo,29.980463,31.3854644,Capital Agency,48571
8100000,3,3,155,Apartment,Katameya,Cairo,29.980463,31.3854644,Capital Agency,52258
32800000,6,6,311,Villa,New Cairo,Cairo,30.0522673,31.4792058,Property Hills One 1,105466
7500000,2,2,120,Townhouse,Mostakbal City,Cairo,30.045667,31.6430115,Capital Agency,62500
10600000,4,4,175,Townhouse,Mostakbal City,Cairo,30.045667,31.6430115,Capital Agency,60571
19529573,3,3,225,Apartment,6th of October,Giza,30.0053539,30.9913517,Property hills star,86798
5400000,2,2,115,Apartment,Sheikh Zayed,Giza,30.10352719841,30.872270093253,Property hills star,46956
13066200,4,4,170,Chalet,North Coast,Matruh,31.1775597,27.618041,Property hills star,76860
15000000,3,3,240,Villa,Sheikh Zayed,Giza,30.026118,31.009526,Property hills star,62500
6400000,2,2,108,Apartment,New Cairo,Cairo,30.035652970564,31.554860540878,Capital Agency,59259
7200000,2,2,129,Apartment,New Cairo,Cairo,30.035652970564,31.554860540878,Capital Agency,55813
2600000,0,1,58,Apartment,New Cairo,Cairo,30.06805,31.406379,Closer Real Estate,44827
9180000,0,1,54,Apartment,Hurghada,Red Sea,27.2579,33.81161,Red Sea Pro,170000
5800000,2,2,125,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Capital Agency,46400
5900000,3,2,140,Apartment,New Cairo,Cairo,30.0713212,31.5772612,Capital Agency,42142
6200000,3,2,147,Apartment,New Cairo,Cairo,30.0713212,31.5772612,Capital Agency,42176
6100000,3,2,145,Apartment,New Cairo,Cairo,30.0713212,31.5772612,Capital Agency,42068
6900000,3,3,163,Apartment,New Cairo,Cairo,30.0713212,31.5772612,Capital Agency,42331
2100000,0,1,50,Apartment,Sheikh Zayed,Giza,30.06229462,30.91045572,AL Hayah Investment,42000
11160034,4,5,240,Townhouse,6th of October,Giza,29.8561331,30.9018623,PHT,46500
5128000,2,2,96,Apartment,New Capital City,Cairo,30.125082,31.8853002,Ma Ville Real Estate,53416
17000000,3,3,166,Villa,New Cairo,Cairo,29.9978486,31.5048264,Property Hills One 1,102409
20000000,4,4,230,Villa,Palm Hills,Alexandria,31.2,29.919,Property Hills One 1,86956
3500000,2,1,100,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,Wealthy way,35000
5650000,2,1,134,Apartment,El Fostat,Cairo,30.016116878782,31.239366637428,Imkan Investment,42164
73000000,6,6,407,Villa,New Cairo,Cairo,30.0102788,31.5379067,a-one real estate,179361
23000000,3,3,260,Townhouse,New Cairo,Cairo,30.0092708,31.5023957,Akar Town Real Estate,88461
12653500,4,4,280,iVilla,New Cairo,Cairo,30.07349031,31.60085522,Java for real estate,45191
15000000,5,4,400,Villa,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills Plus,37500
7000000,5,4,310,Townhouse,6th of October,Giza,30.0141854,31.0769017,Property Hills Plus,22580
23000000,2,2,145,Chalet,North Coast,Matruh,27.855874427197,31.246581787806,Grow Up Real Estate,158620
7400000,3,3,195,Apartment,Mostakbal City,Cairo,30.0455507,31.6578556,prime location,37948
90000000,5,4,450,Chalet,Ain Sukhna,Suez,29.6727347,32.3374381,Falcon Real Estate,200000
53000000,5,4,460,Villa,New Cairo,Cairo,30.06805,31.406379,Falcon Real Estate,115217
11900000,4,4,210,Villa,Mostakbal City,Cairo,30.045667,31.6430115,Capital Agency,56666
11700000,2,3,120,Chalet,North Coast,Matruh,31.1775597,27.618041,Property Hills One 1,97500
13110780,5,5,565,Villa,Sheikh Zayed,Giza,30.076691,30.8767599,Property Hills Plus,23204
15000000,5,4,235,iVilla,New Cairo,Cairo,30.04842577295,31.501481164322,Property Hills One 1,63829
6650000,3,3,164,Apartment,New Cairo,Cairo,30.0377629,31.4827162,Aqar Factory,40548
7400000,2,2,120,Villa,Mostakbal City,Cairo,30.045667,31.6430115,Capital Agency,61666
9100000,3,3,170,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Capital Agency,53529
7000000,2,2,128,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Capital Agency,54687
7300000,3,3,176,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Capital Agency,41477
5400000,2,2,115,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Capital Agency,46956
30000000,4,4,430,Villa,Madinaty,Cairo,30.09177585,31.6426486,Akhtearak Real Estate - اختيارك للتسويق العقاري,69767
24900000,4,4,249,Twin House,New Cairo,Cairo,30.0303648,31.530564,Property Hills One 1,100000
12500000,3,2,185,Apartment,New Cairo,Cairo,30.0246926,31.4940262,4 C,67567
5400000,1,1,75,Chalet,Ain Sukhna,Suez,29.2710014,32.6098024,Aqar Factory,72000
2625000,3,2,140,Apartment,New Cairo,Cairo,30.07582038,31.51507649,Sigma Real Estate,18750
4480000,4,3,275,Apartment,Shorouk City,Cairo,30.1233727,31.6306056,Scouts,16290
6500000,2,1,167,Apartment,El Fostat,Cairo,30.016116878782,31.239366637428,Imkan Investment,38922
23000000,4,5,292,Villa,6th of October,Giza,30.0141854,31.0769017,Egy Belta properties,78767
5500000,3,2,230,Apartment,Nasr City,Cairo,30.03145,31.34338,Al Arabia,23913
7000000,1,1,61,Chalet,Soma Bay,Red Sea,26.8608814,33.944639,Scouts,114754
7300000,3,4,265,Duplex,Mostakbal City,Cairo,30.0527286,31.6173381,Prime Community,27547
7500000,5,4,310,Villa,Fayed,Ismailia,30.31183,32.31332,Ahmed Abd almohsen frahat,24193
17000000,3,3,219,Villa,Madinaty,Cairo,30.09177585,31.6426486,Akhtearak Real Estate - اختيارك للتسويق العقاري,77625
4330000,3,3,160,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Scouts,27062
10200000,3,4,383,Twin House,6th of October,Giza,29.9879568,31.0100011,Property hills star,26631
35800000,5,5,255,Villa,New Cairo,Cairo,30.0102788,31.5379067,Property Hills One 1,140392
30000000,6,5,373,Villa,Mostakbal City,Cairo,30.0941611,31.7041108,Aqar Factory,80428
7465000,3,3,190,Apartment,Sheikh Zayed,Giza,30.054415376423,31.008923110908,Property hills star,39289
13900000,3,3,180,Villa,Ain Sukhna,Suez,29.3875676,32.5544221,Falcon Real Estate,77222
17500000,5,4,305,Villa,New Cairo,Cairo,29.9842656,31.540594,Scouts,57377
24500000,4,3,220,Twin House,Sheikh Zayed,Giza,30.917731,30.0636166,Abrag One,111363
10000000,4,4,248,Townhouse,Mostakbal City,Cairo,30.069725035909,31.660034846981,Property Hills One 1,40322
8500000,1,1,85,Apartment,Hurghada,Red Sea,27.2579,33.81161,Red Sea Pro,100000
30000000,4,4,260,Villa,North Coast,Matruh,31.084153545337,28.02853938199,Java for real estate,115384
30000000,10,6,600,Villa,New Cairo,Cairo,30.0003107,31.4045463,FAM Egypt Real Estate,50000
6800000,2,2,120,Apartment,New Cairo,Cairo,30.0678135,31.5215178,Mastermind real estate,56666
15907300,3,4,245,iVilla,New Cairo,Cairo,30.04842577295,31.501481164322,Mastermind real estate,64927
11700000,2,2,167,Penthouse,New Cairo,Cairo,29.9875186,31.5555302,Loyalty Real Estate,70059
4000000,2,2,133,Chalet,North Coast,Matruh,30.8583492,28.9042079,Scouts,30075
14300000,5,4,245,Townhouse,New Cairo,Cairo,30.0742797,31.5887794,Property Hills One 1,58367
9350000,2,2,130,Chalet,Ain Sukhna,Suez,29.3875676,32.5544221,Falcon Real Estate,71923
7000000,6,6,750,Villa,6th of October,Giza,29.8561331,30.9018623,Property Hills Plus,9333
34881336,5,4,240,Villa,Mostakbal City,Cairo,30.171762745248,31.556283861323,Dream homes,145338
8750000,3,3,175,Villa,New Cairo,Cairo,30.0303648,31.530564,Falcon Real Estate,50000
51000000,6,5,555,Villa,Madinaty,Cairo,30.09177585,31.6426486,Dream homes 1,91891
10823000,3,3,200,Apartment,New Capital City,Cairo,30.125082,31.8853002,Dream homes,54115
4580000,3,2,150,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,Scouts,30533
5000000,1,1,83,Chalet,Soma Bay,Red Sea,26.8849662,33.9833269,Scouts,60240
5000000,2,1,114,Chalet,Soma Bay,Red Sea,26.8608814,33.944639,Scouts,43859
5000000,3,2,160,Apartment,Smoha,Alexandria,31.21536,29.94034,Shaety For Real Estate,31250
42000000,4,4,510,Villa,New Cairo,Cairo,30.0478192,31.5372842,Penates,82352
8000000,3,3,191,Apartment,New Cairo,Cairo,30.0212161,31.5472488,Penates,41884
13500000,2,1,105,Apartment,Soma Bay,Red Sea,26.8670857,33.9602308,R. O. I Real Estate Investment Hurghada,128571
15700000,3,3,250,Apartment,North Coast,Matruh,30.8365625,28.9590625,Shaety For Real Estate,62800
6000000,2,2,200,Apartment,Heliopolis,Cairo,30.09093,31.32778,Property Network,30000
7750000,3,2,180,Apartment,Heliopolis,Cairo,30.09093,31.32778,Property Network,43055
20960000,1,1,79,Chalet,North Coast,Matruh,31.065661392699,28.397555312136,Addreic,265316
6700000,1,1,81,Penthouse,Sahl Hasheesh,Red Sea,27.0371151,33.876951,R. O. I Real Estate Investment Hurghada,82716
4400000,3,3,163,Apartment,Mostakbal City,Cairo,30.0495586,31.6140162,New Avenue,26993
10000000,2,2,135,Apartment,Sheikh Zayed,Giza,30.0468424,30.998248,Driven Properties,74074
5635000,3,3,161,Apartment,Moharam Bik,Alexandria,31.17310014,29.9287022,Shaety For Real Estate,35000
6700000,4,3,222,Apartment,North Coast,Matruh,30.8583492,28.9042079,Shaety For Real Estate,30180
6943300,3,3,197,Apartment,Smoha,Alexandria,31.2155235,29.9420061,Shaety For Real Estate,35245
63000000,6,6,480,Villa,New Cairo,Cairo,30.0288434,31.4075884,prime location,131250
30000000,5,4,640,Villa,Sheikh Zayed,Giza,30.917731,30.0636166,Trillium,46875
6950000,4,3,220,Apartment,Katameya,Cairo,29.980463,31.3854644,Blue Reef for Real Estate Investment,31590
26000000,11,11,600,Villa,6th of October,Giza,29.9820789,30.9664711,Misr October,43333
9000000,3,3,135,Apartment,New Cairo,Cairo,29.96511984,31.54484867,Egypt Best Properties (EBP,66666
9000000,4,3,212,Villa,Mostakbal City,Cairo,30.0941611,31.7041108,premier Properties,42452
8100000,2,3,148,Apartment,New Capital City,Cairo,30.110917418371,31.927401286507,Java for real estate,54729
14000000,4,4,265,Twin House,6th of October,Giza,29.9944641,30.9973951,Property Hills Plus,52830
10180000,3,3,140,Apartment,New Cairo,Cairo,30.04842577295,31.501481164322,Java for real estate,72714
7950000,3,2,143,Apartment,Mostakbal City,Cairo,29.9995816,31.5073804,AL Hayah Investment,55594
9554200,6,6,434,Villa,Shorouk City,Cairo,30.2013484,31.6804732,Falcon Real Estate,22014
3400000,2,2,106,Chalet,North Coast,Matruh,30.825496224786,29.011091879144,Falcon Real Estate,32075
9512000,3,3,204,Duplex,New Cairo,Cairo,30.06805,31.406379,Blue Reef for Real Estate Investment,46627
4000000,3,2,150,Chalet,Ain Sukhna,Suez,29.3408985,32.5822206,Scouts,26666
4000000,3,2,165,Apartment,New Cairo,Cairo,30.025056,31.5948035,Scouts,24242
7700000,2,2,129,Chalet,North Coast,Matruh,30.8224695,28.954309,Scouts,59689
16000000,5,4,470,Villa,6th of October,Giza,29.988710306489,31.018033737041,Trillium,34042
17800000,5,4,310,Townhouse,6th of October,Giza,29.993529,30.9747258,Trillium,57419
4070000,1,1,79,Apartment,Hurghada,Red Sea,27.2579,33.81161,R. O. I Real Estate Investment Hurghada,51518
5100000,2,2,101,Apartment,New Cairo,Cairo,29.939662391024,31.564651421584,Capital Agency,50495
3200000,2,2,113,Apartment,6th of October,Giza,29.941954043767,30.953177425259,AL Hayah Investment,28318
8000000,3,3,145,Chalet,North Coast,Matruh,30.8365625,28.9590625,Coldwell Banker,55172
15000000,3,3,165,Apartment,New Cairo,Cairo,30.025056,31.5948035,Coldwell Banker,90909
8000000,5,5,400,Villa,New Mansoura,Dakahlia,31.4900981,31.4218195,Coldwell Banker,20000
10000000,5,5,400,Villa,New Mansoura,Dakahlia,31.4900981,31.4218195,Coldwell Banker,25000
4000000,2,2,123,Apartment,New Capital City,Cairo,29.9978985,31.63101061,Coldwell Banker,32520
6000000,3,2,218,Apartment,New Capital City,Cairo,30.0395901,31.6985965,Scouts,27522
1800000,1,2,85,Apartment,New Cairo,Cairo,29.988206350003,31.476730158727,Abdelrazek Hashem,21176
8000000,3,3,145,Chalet,North Coast,Matruh,30.8365625,28.9590625,Coldwell Banker,55172
21000000,5,5,230,Villa,New Capital City,Cairo,30.0029471,31.595582,Coldwell Banker,91304
10000000,2,2,110,Apartment,New Cairo,Cairo,30.035652970564,31.554860540878,Coldwell Banker,90909
9000000,5,5,212,Villa,Mostakbal City,Cairo,30.0941611,31.7041108,Coldwell Banker,42452
7500000,4,4,160,Villa,Mostakbal City,Cairo,30.0941611,31.7041108,Coldwell Banker,46875
16000000,5,5,210,Villa,6th of October,Giza,30.0050838,30.9290455,Coldwell Banker,76190
30000000,5,5,215,Villa,New Cairo,Cairo,29.99792889,31.49372067,Coldwell Banker,139534
34000000,5,5,285,Villa,New Cairo,Cairo,30.0920272,31.4838462,Coldwell Banker,119298
18000000,4,4,220,Villa,New Cairo,Cairo,30.0504169,31.5077373,Coldwell Banker,81818
5500000,3,3,174,Apartment,New Cairo,Cairo,30.025056,31.5948035,Scouts,31609
14000000,2,2,98,Chalet,North Coast,Matruh,31.1903125,27.5931875,Property Hills One 1,142857
8980000,3,2,100,Apartment,Mostakbal City,Cairo,30.0533772,31.6365203,AL Hayah Investment,89800
1800000,3,2,360,Duplex,Badr City,Cairo,30.14005,31.74103,Ahmed Mahmoud,5000
2900000,3,2,134,Apartment,New Capital City,Cairo,30.0395901,31.6985965,Wealthy way,21641
3600000,0,1,63,Apartment,Madinaty,Cairo,30.096464,31.6670565,Start Homes 2,57142
6400000,3,3,158,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Capital Agency,40506
5600000,4,3,266,Villa,6th of October,Giza,29.9498284,31.0027189,Living Vibes,21052
3100000,1,1,57,Apartment,6th of October,Giza,30.006447,31.0985889,AL Hayah Investment,54385
24000000,4,3,285,Townhouse,New Cairo,Cairo,30.0092708,31.5023957,El Rabeh,84210
11000000,3,3,135,Apartment,6th of October,Giza,29.8561331,30.9018623,Egypt Best Properties (EBP,81481
47500000,6,6,525,Villa,New Cairo,Cairo,29.9842656,31.540594,Sweet Home,90476
35993000,8,6,362,Twin House,6th of October,Giza,30.0092002,31.0178278,Egypt Best Properties (EBP,99428
4700000,3,2,150,Chalet,North Coast,Matruh,30.825496224786,29.011091879144,Falcon Real Estate,31333
8000000,4,3,267,Villa,Sheikh Zayed,Giza,30.0350735,30.982366,Living Vibes,29962
21500000,4,5,265,Villa,New Cairo,Cairo,30.06805,31.406379,prime location,81132
8700000,4,3,218,Townhouse,Shorouk City,Cairo,30.14421,31.63972,Scouts,39908
20500000,4,4,220,Villa,Sheikh Zayed,Giza,30.0445728,31.0243959,Egy Belta properties,93181
7500000,3,3,280,Duplex,Sheikh Zayed,Giza,30.044392865831,30.989127134844,Cairo gate,26785
4000000,3,3,156,Apartment,North Coast,Matruh,30.8224695,28.954309,Scouts,25641
10100000,3,2,132,Apartment,New Cairo,Cairo,30.0600801,31.5985531,Capital Agency,76515
9560000,3,3,160,Villa,New Cairo,Cairo,30.06805,31.406379,Wealthy way,59750
1800000,1,1,80,Apartment,New Cairo,Cairo,29.988206350003,31.476730158727,Abdelrazek Hashem,22500
4000000,4,3,260,Twin House,Sheikh Zayed,Giza,30.002639,30.8352722,Living Vibes,15384
