price,bedrooms,bathrooms,area,property_type,city,region,latitude,longitude,agency,price_per_m
5655000,2,2,106,Apartment,Sheikh Zayed,Giza,30.05888030941,31.017767063748,Abrag Three,53349
6250000,1,1,65,Chalet,North Coast,Matruh,31.0724538,28.2011747,Falcon Real Estate,96153
7472000,1,1,73,Apartment,Sahl Hasheesh,Red Sea,27.0371151,33.876951,Red Sea Pro,102356
4430000,2,1,86,Apartment,Hurghada,Red Sea,27.2579,33.81161,Red Sea Pro,51511
5843000,2,1,85,Apartment,Hurghada,Red Sea,27.2579,33.81161,Red Sea Pro,68741
7500000,2,1,100,Apartment,Hurghada,Red Sea,27.2579,33.81161,Red Sea Pro,75000
7600000,3,2,134,Apartment,Sheikh Zayed,Giza,30.043503322321,30.981163006747,Abrag Three,56716
2700000,0,1,77,Apartment,Shorouk City,Cairo,30.117319900012,31.657952438438,AL Hayah Investment,35064
7900000,3,3,170,Chalet,6th of October,Giza,30.0050838,30.9290455,Egypt Best Properties (EBP,46470
14000000,3,3,210,Townhouse,6th of October,Giza,29.985209678113,31.080067422088,Property Hills Plus,66666
15370000,3,3,210,Townhouse,6th of October,Giza,29.9924715,30.8920785,Property Hills Plus,73190
3350000,3,2,127,Apartment,New Cairo,Cairo,30.06603,31.48561,SFR,26377
9700000,3,3,150,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Egypt Best Properties (EBP,64666
4615000,2,1,119,Apartment,6th of October,Giza,29.941954043767,30.953177425259,AL Hayah Investment,38781
8500000,1,1,85,Chalet,Soma Bay,Red Sea,26.8641416,33.9648764,Egypt Best Properties (EBP,100000
20500000,6,6,290,Twin House,New Cairo,Cairo,30.0102788,31.5379067,Property Hills One 1,70689
16000000,4,4,260,Townhouse,Sheikh Zayed,Giza,30.06175402,30.96175282,Lacasa Plaza,61538
9500000,2,2,96,Apartment,New Cairo,Cairo,30.0246926,31.4940262,Egypt Best Properties (EBP,98958
5054000,0,1,69,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,AL Hayah Investment,73246
6864000,2,2,138,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Falcon Real Estate,49739
2300000,3,2,140,Apartment,Hadayek al-Ahram,Giza,29.98644,31.16651,ميامى لايف,16428
46000000,4,4,316,Twin House,New Cairo,Cairo,29.99792889,31.49372067,IMIC Real estate,145569
30000000,4,4,223,Townhouse,New Cairo,Cairo,29.99792889,31.49372067,IMIC Real estate,134529
4527257,0,1,62,Apartment,Hadayek October,Giza,29.9308114,31.0876497,Abrag One,73020
38000000,4,4,300,Villa,New Cairo,Cairo,30.07349031,31.60085522,Egypt Best Properties (EBP,126666
3800000,2,2,122,Apartment,Sheikh Zayed,Giza,30.0628118,30.8623668,Property hills star,31147
6660000,2,2,90,Chalet,North Coast,Matruh,30.97899799,28.71566916,Property hills star,74000
8065000,2,1,90,Chalet,Ain Sukhna,Suez,29.73754952447,32.397370935495,AL Hayah Investment,89611
8800000,3,3,150,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills VIP,58666
6000000,3,3,160,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills VIP,37500
7500000,3,3,190,Apartment,6th of October,Giza,29.9707309,31.0369528,Hussin shaban,39473
4527000,1,1,62,Apartment,Hadayek October,Giza,29.9308114,31.0876497,Abrag One,73016
30000000,4,4,223,Townhouse,New Cairo,Cairo,29.99792889,31.49372067,IMIC Real estate,134529
21000000,4,4,360,Townhouse,6th of October,Giza,29.989265,31.0075456,Abrag One,58333
6719000,3,3,133,Apartment,New Heliopolis,Cairo,30.163528044741,31.677762679717,Imkan Investment,50518
5600000,3,2,164,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,Capital Agency,34146
5568000,2,2,111,Apartment,New Capital City,Cairo,30.0395901,31.6985965,Redefine,50162
10000000,3,2,145,Chalet,North Coast,Matruh,28.715620708338,30.978711069679,Abrag Three,68965
14500000,3,3,214,Apartment,6th of October,Giza,30.0141854,31.0769017,Supermarket Aqari,67757
22000000,3,3,211,Townhouse,6th of October,Giza,29.9633661,31.0009178,Egypt Best Properties (EBP,104265
27000000,5,4,351,Penthouse,New Cairo,Cairo,30.0074176,31.4887433,Property Hills One 1,76923
12000000,3,4,144,Penthouse,Makadi Bay,Red Sea,26.9817908,33.8615265,Egypt Best Properties (EBP,83333
15500000,3,4,190,Townhouse,6th of October,Giza,29.8561331,30.9018623,Egypt Best Properties (EBP,81578
5500000,3,3,200,Apartment,Maadi,Cairo,29.96359,31.27522,Abrag One,27500
9000000,3,2,176,Apartment,Sheraton,Cairo,30.090647810305,31.377698496569,Catchers investment,51136
8000000,3,3,150,Apartment,6th of October,Giza,29.9633661,31.0009178,Property Hills VIP,53333
5000000,3,3,158,Apartment,Sheikh Zayed,Giza,30.0726483,30.9654218,Property Hills VIP,31645
11800000,2,2,110,Chalet,Soma Bay,Red Sea,26.8641416,33.9648764,Egypt Best Properties (EBP,107272
11100000,3,3,190,Apartment,6th of October,Giza,30.0050838,30.9290455,Egypt Best Properties (EBP,58421
12000000,4,4,255,Townhouse,New Capital City,Cairo,29.948894,31.7030369,SRM,47058
12500000,2,2,125,Duplex,Gouna,Red Sea,27.4148421,33.6754852,Egypt Best Properties (EBP,100000
6500000,3,3,160,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Scouts,40625
13837500,2,3,150,Apartment,New Cairo,Cairo,30.0111753,31.5161206,Redefine,92250
14000000,3,3,199,Apartment,New Cairo,Cairo,29.9842656,31.540594,Redefine,70351
4291000,3,2,129,Apartment,6th of October,Giza,29.950191175817,30.954068529609,Abrag Three,33263
4100000,1,1,56,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,Platinum Real Estate,73214
4600000,1,2,80,Apartment,Mostakbal City,Cairo,30.0941611,31.7041108,Platinum Real Estate,57500
11500000,2,2,110,Chalet,Gouna,Red Sea,27.4148421,33.6754852,Egypt Best Properties (EBP,104545
35000000,4,4,265,Townhouse,New Capital City,Cairo,30.0029471,31.595582,Egypt Best Properties (EBP,132075
10000000,3,3,160,Apartment,6th of October,Giza,30.0050838,30.9290455,Egypt Best Properties (EBP,62500
8000000,3,3,140,Apartment,6th of October,Giza,30.0050838,30.9290455,Egypt Best Properties (EBP,57142
27000000,3,3,246,Townhouse,New Capital City,Cairo,29.9978985,31.63101061,IMIC Real estate,109756
16000000,4,4,245,Villa,New Capital City,Cairo,30.0029471,31.595582,Egy Property,65306
3100000,3,2,140,Apartment,Miami,Alexandria,31.26527,30.00177,Inspire Homes,22142
5457000,3,2,170,Chalet,North Coast,Matruh,30.8583492,28.9042079,Enterprise,32100
30000000,3,4,320,Villa,Madinaty,Cairo,30.09177585,31.6426486,B United Now Home,93750
8000000,2,2,115,Chalet,North Coast,Matruh,28.715620708338,30.978711069679,Abrag Three,69565
8000000,2,2,121,Apartment,6th of October,Giza,29.9633661,31.0009178,Egypt Best Properties (EBP,66115
6264000,2,2,108,Apartment,6th of October,Giza,29.9844638,30.8817192,AL Hayah Investment,58000
20000000,6,6,351,Townhouse,6th of October,Giza,30.0141854,31.0769017,Foundra Realestate,56980
2950000,3,1,110,Apartment,Smoha,Alexandria,31.21536,29.94034,Inspire Homes,26818
16274000,5,4,267,Villa,New Cairo,Cairo,30.0310276,31.5423707,Egy Property,60951
4265000,2,1,125,Chalet,North Coast,Matruh,30.8583492,28.9042079,Enterprise,34120
4000000,2,2,108,Apartment,Sheikh Zayed,Giza,30.06229462,30.91045572,AL Hayah Investment,37037
3135000,0,1,57,Apartment,6th of October,Giza,30.006447,31.0985889,AL Hayah Investment,55000
5593600,3,3,184,Apartment,6th of October,Giza,29.9707309,31.0369528,Property hills star,30400
2100000,3,2,180,Apartment,Shorouk City,Cairo,30.2013484,31.6804732,SFR,11666
4654500,2,2,145,Chalet,North Coast,Matruh,30.8583492,28.9042079,Enterprise,32100
10700000,4,5,304,Twin House,Sheikh Zayed,Giza,30.0639796,30.8829127,Property hills star,35197
5533900,3,3,177,Apartment,Hadayek October,Giza,29.948435630627,31.066704307476,Abrag Three,31264
3150000,0,1,57,Apartment,6th of October,Giza,30.006447,31.0985889,AL Hayah Investment,55263
4200000,2,2,120,Apartment,Shorouk City,Cairo,30.117319900012,31.657952438438,AL Hayah Investment,35000
14000000,4,4,418,Villa,Sheikh Zayed,Giza,30.0577847,30.939106,Abrag Three,33492
8000000,3,3,196,Apartment,Smoha,Alexandria,31.208442946995,29.939799250338,Property hills star,40816
6800000,2,2,85,Chalet,North Coast,Matruh,31.08028619097,28.015131024311,Abrag Three,80000
3996000,2,2,110,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Catchers investment,36327
7000000,2,2,134,Apartment,Amreya,Alexandria,31.158448,29.95946,Property hills star,52238
5500000,3,3,173,Apartment,Sheikh Zayed,Giza,30.0381444,31.0381771,siag golden home,31791
8350910,1,1,67,Chalet,North Coast,Matruh,31.065661392699,28.397555312136,Kayan Real Estate Consulting,124640
6100000,2,2,82,Apartment,Mostakbal City,Cairo,30.0533772,31.6365203,AL Hayah Investment,74390
4200000,2,1,108,Apartment,Sheikh Zayed,Giza,30.06229462,30.91045572,AL Hayah Investment,38888
6750000,4,3,217,Apartment,Agami,Alexandria,29.7666672,31.0988357,Inspire Homes,31105
6500000,3,3,155,Apartment,6th of October,Giza,30.0050838,30.9290455,Egypt Best Properties (EBP,41935
6600000,3,3,180,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills VIP,36666
12225909,3,3,253,Duplex,New Cairo,Cairo,30.0574569,31.6018979,New Avenue,48323
18958901,3,3,185,Townhouse,North Coast,Matruh,31.07192223,28.22889797,Prime Community,102480
3515000,2,1,110,Apartment,New Cairo,Cairo,29.9678067,31.5159872,Closer Real Estate,31954
6355000,3,3,151,Apartment,New Cairo,Cairo,30.0678135,31.5215178,New Avenue,42086
5740000,3,2,153,Apartment,New Cairo,Cairo,30.0678135,31.5215178,New Avenue,37516
26964505,3,3,207,Chalet,North Coast,Matruh,30.0550268,31.3366903,Labib investments,130263
8000000,3,3,235,Apartment,New Cairo,Cairo,30.07349031,31.60085522,GH,34042
26530000,3,3,255,Townhouse,New Cairo,Cairo,30.0074176,31.4887433,Mastermind real estate,104039
9938000,2,2,125,Apartment,Heliopolis,Cairo,30.082528010338,31.348869380965,Re/Max Clear Scope,79504
8500000,1,1,65,Chalet,North Coast,Matruh,31.0724538,28.2011747,Falcon Real Estate,130769
4500000,3,2,155,Apartment,New Capital City,Cairo,29.963261324748,31.771264172865,deal,29032
15500000,3,3,270,Apartment,New Cairo,Cairo,30.0478192,31.5372842,GH,57407
7000000,3,2,133,Apartment,Madinaty,Cairo,30.09177585,31.6426486,Akhtearak Real Estate - اختيارك للتسويق العقاري,52631
12900000,3,4,245,Penthouse,6th of October,Giza,29.9979633,30.9236038,REV,52653
38500000,6,5,375,Villa,New Cairo,Cairo,30.0920272,31.4838462,Property Hills One 1,102666
10800000,3,4,200,Townhouse,6th of October,Giza,29.9944641,30.9973951,REV,54000
6401675,2,3,132,Apartment,6th of October,Giza,29.8561331,30.9018623,Gate Real Estate,48497
5750000,3,3,155,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Green Home,37096
6000000,3,3,170,Apartment,New Cairo,Cairo,30.07349031,31.60085522,GH,35294
8000000,3,3,165,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Gate Real Estate,48484
7000000,3,3,180,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Green Home,38888
13400000,6,6,641,Villa,New Cairo,Cairo,30.0019339,31.4983569,Property Hills One 1,20904
12540000,3,3,170,Townhouse,North Coast,Matruh,31.082957585789,28.032116949628,Gate Real Estate,73764
7760000,3,3,174,iVilla,6th of October,Giza,30.0050838,30.9290455,Gate Real Estate,44597
24750000,5,5,520,Villa,North Coast,Matruh,31.1956859,27.554789,Property Hills One 1,47596
6370000,2,2,97,Apartment,New Cairo,Cairo,30.078762187131,31.473255,Falcon Real Estate,65670
39500000,6,5,513,Villa,Madinaty,Cairo,30.09177585,31.6426486,Sky Map Real Estate,76998
20000000,6,5,170,Chalet,North Coast,Matruh,31.1775597,27.618041,Property Hills One 1,117647
20000000,5,5,170,Chalet,North Coast,Matruh,31.1775597,27.618041,Property Hills One 1,117647
7800705,0,1,41,Hotel Apartment,Maadi,Cairo,29.994658013908,31.22893366497,Egypt Best Properties (EBP,190261
5800000,3,3,170,Apartment,6th of October,Giza,29.989265,31.0075456,Property Hills Plus,34117
8100000,4,4,229,Townhouse,Sheikh Zayed,Giza,30.0533743,30.93049955,Property hills star,35371
3500000,3,2,145,Apartment,New Cairo,Cairo,30.06603,31.48561,SFR,24137
7095015,2,1,90,Chalet,North Coast,Matruh,30.8627527,29.27810085,Remax professional,78833
10000000,4,3,204,Villa,New Capital City,Cairo,30.125082,31.8853002,Ajwar For Real Estate,49019
9000000,4,3,212,Villa,Mostakbal City,Cairo,30.0941611,31.7041108,SFR,42452
31000000,3,4,325,Villa,New Cairo,Cairo,30.0074176,31.4887433,Coldwell Banker Analista,95384
29000000,6,5,450,Villa,New Cairo,Cairo,29.9842656,31.540594,New Avenue,64444
4000000,2,1,125,Apartment,Cleopatra,Alexandria,31.21614,29.93875,Remax professional,32000
90000000,6,6,800,Villa,Sheikh Zayed,Giza,30.073028969307,30.965373520242,Flip real estate,112500
22000000,4,4,220,Twin House,Sheikh Zayed,Giza,30.0760241,30.9783104,Gate Real Estate,100000
14500000,4,4,340,Apartment,Sidi Gaber,Alexandria,31.210721264911,29.943776242076,Remax Avalon,42647
25000000,5,5,285,Villa,New Cairo,Cairo,30.0920272,31.4838462,Property Hills One 1,87719
6500000,3,2,143,Apartment,Madinaty,Cairo,30.09177585,31.6426486,Sky Map Real Estate,45454
5100000,2,2,135,Apartment,Mostakbal City,Cairo,30.0466368,31.6336039,New Avenue,37777
7540000,3,3,169,Apartment,New Cairo,Cairo,30.06805,31.406379,Closer Real Estate,44615
7300000,2,2,140,Chalet,North Coast,Matruh,30.8365625,28.9590625,Falcon Real Estate,52142
10000000,4,4,207,Duplex,New Cairo,Cairo,30.0598936,31.4083263,Falcon Real Estate,48309
4367876,3,2,120,Chalet,North Coast,Matruh,31.0846702,27.9347746,Property hills star,36398
2150000,3,2,120,Apartment,Hadayek al-Ahram,Giza,29.98644,31.16651,ميامى لايف,17916
6000000,3,3,160,Apartment,Sheikh Zayed,Giza,30.0468424,30.998248,Property Hills VIP,37500
7214000,3,3,210,iVilla,6th of October,Giza,30.0050838,30.9290455,بلوتو للوساطة العقارية,34352
5500000,3,3,170,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills VIP,32352
6100000,3,3,160,Apartment,Sheikh Zayed,Giza,30.0648376,30.94684,Property Hills VIP,38125
6000000,2,2,144,Apartment,New Capital City,Cairo,29.948894,31.7030369,deal,41666
24427160,3,3,210,Townhouse,6th of October,Giza,29.985209678113,31.080067422088,Egypt Best Properties (EBP,116319
29925000,6,5,300,Twin House,6th of October,Giza,30.0092002,31.0178278,Egypt Best Properties (EBP,99750
